"Date","Observed","CNRM_CCLM","CNRM_RCA","EC.EARTH_CCLM","EC.EARTH_HIRHAM","EC.EARTH_RACMO","EC.EARTH_RCA","HADGEM_RCA","IPSL_RCA","MPI_CCLM","MPI_RCA"
"Jan",0,0,0,0,0,0,0,0,0,0,0
"Feb",0,0,0,0,0,0,0,0,0,0,0
"Mar",0,0,0,0,0,0,0,0,0,0,0
"Apr",0.905438163601967,0.844494271081349,0.927265152283273,0.948096713181106,0.920139901711061,0.826032096599487,0.861758654613796,0.799051354168433,0.897370924922292,0.938556753811462,0.836007658369219
"May",2.43833154074391,2.290506007692,2.15750426241016,2.40874235058209,2.3669968258974,2.4277081740828,2.19532502343234,2.25982510880481,2.1631333284006,2.36164029673866,2.30270792163017
"Jun",3.61443069459041,3.67889243761772,3.52029560037338,3.64118906218706,3.56454823826373,3.54064849430763,3.61657005257475,3.6970427675535,3.46944742782397,3.6421116601954,3.66009682932648
"Jul",3.95746719644622,4.00864350119655,4.03136187090456,3.94600810719367,3.98678348471297,3.99009235362319,4.0447257665733,3.89206103961588,4.06406591441403,3.97176139583898,3.97559474318477
"Aug",3.24822711141429,3.22770805496907,3.33137752452001,3.18139602649276,3.22269855273787,3.21939131273958,3.23723021050789,3.24686486260201,3.35271155248779,3.16501178309605,3.24096320546922
"Sep",2.00394044027828,2.07588012790787,2.06338948628928,2.05143627802414,2.04838589842349,2.06123415755191,2.04950469553031,2.0742914545714,2.01564842537919,2.093933873852,2.02235233884607
"Oct",1.0222065104477,1.04688831417611,1.04481128588622,1.0000999938813,1.02416953914639,1.07318930472353,1.0074804293453,0.970783369344636,1.04175142279812,1.00411296315565,1.04745785376679
"Nov",0.286914261182343,0.315549006268904,0.288550742103508,0.292394741702447,0.329305290767058,0.192455519605085,0.312329673271227,0.435954810101443,0.286079991787359,0.290649133563946,0.267318286848455
"Dec",0,0,0,0,0,0,0,0,0,0,0
