"","Date","CNRM_CCLM","CNRM_RCA","EC.EARTH_CCLM","EC.EARTH_HIRHAM","EC.EARTH_RACMO","EC.EARTH_RCA","HADGEM_RCA","IPSL_RCA","MPI_CCLM","MPI_RCA"
"1","Jan",162.30899450047,178.05487613743,158.686705015876,175.456621401062,152.35504252266,184.047289651653,217.658978165948,186.008539177578,161.909649051378,146.234868129681
"2","Feb",118.739146690804,142.468079652337,140.169458278827,114.191671093058,115.747291933129,136.850548767872,178.001179741543,175.375738626411,125.432950415931,133.196359740303
"3","Mar",125.660530841501,125.76049581236,111.824429045241,104.458473068229,102.108047911921,107.903929057561,127.740264331777,121.499659555216,103.394258667548,108.657273149603
"4","Apr",86.3686859695914,99.4913157811979,81.3783952846156,83.4745341863735,95.0687407835096,93.1994603573837,97.8222932818662,101.242651755393,102.460178162245,100.620858128529
"5","May",82.4632577397485,107.32885274159,93.9555229715113,99.7657827756543,106.834869063257,106.705869126367,94.1317993820899,104.914515689956,105.89516820468,111.376655260277
"6","Jun",89.4457106853597,95.7183744197415,72.0097993244956,90.8283896805645,97.1257714791482,74.8507769543593,79.2441391569795,127.613511734009,111.794640788392,118.325373488393
"7","Jul",73.5366164955542,116.683917363025,95.2960836650326,97.4137074617417,110.287452644566,102.144749882528,120.779143231296,103.032706859151,105.549763206528,94.2110972248712
"8","Aug",99.7884791633371,148.173296099377,80.2195218470361,93.9964490520716,148.112863809044,135.430654662238,103.568062011736,161.368644560531,123.035108389004,122.567228884128
"9","Sep",93.0154049806598,132.142913101169,109.530293133983,116.138946255137,145.688000034252,116.167425582154,96.6508158841396,120.671338442747,98.5721527254932,132.357807212133
"10","Oct",162.323137344707,180.772617465501,131.36140444004,123.45986980117,199.423628355106,162.974270874417,143.515854042594,229.088497089983,130.446476968649,160.135462663142
"11","Nov",144.39735156179,169.265468051884,147.806351015036,139.548774335048,197.519391868549,173.989090099179,127.25135817656,213.899089714095,152.923059434348,143.298250153451
"12","Dec",176.503906526164,199.987321170432,186.355117096618,190.851348006795,155.939364902759,211.899634191273,186.923981056545,209.708197896064,163.380589572091,181.130321539736
