"","Date","Observed","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"1","Jan",-2.16505376344086,-3.04354838709677,-2.2052688172043,-2.43817204301075,-2.51494623655914,-3.11795698924731,-1.78150537634409,-1.95182795698925,-2.39279569892473,-2.16935483870968,-2.19333333333333
"2","Feb",-2.38449917898194,-2.91149014778325,-2.54185960591133,-3.62894909688013,-2.3897249589491,-1.97901888341544,-2.53282430213465,-2.21583743842365,-2.20751642036125,-2.77255747126437,-2.11313628899836
"3","Mar",-0.333763440860215,-1.52075268817204,-0.891290322580645,-1.0494623655914,-1.5910752688172,-0.751397849462366,-0.778279569892473,-1.01569892473118,-0.40247311827957,-0.148709677419355,-0.291612903225806
"4","Apr",3.27611111111111,2.601,3.02133333333333,2.98933333333333,2.95244444444444,2.6,2.71544444444444,2.57633333333333,3.06522222222222,3.30444444444444,2.89944444444444
"5","May",8.81817204301075,7.7205376344086,7.17967741935484,8.14537634408602,8.07505376344086,8.4647311827957,7.38623655913978,7.73408602150538,7.3052688172043,8.27483870967742,7.95225806451613
"6","Jun",12.5996666666667,12.3388888888889,11.7973333333333,12.0428888888889,12.0563333333333,11.961,12.153,12.5323333333333,11.5926666666667,12.4686666666667,12.556
"7","Jul",14.654623655914,14.06,14.2832258064516,13.7803225806452,14.3286021505376,14.1869892473118,14.4861290322581,13.8089247311828,14.4389247311828,14.3677419354839,14.3713978494624
"8","Aug",13.5401075268817,12.7086021505376,13.300752688172,12.5395698924731,12.9793548387097,13.0182795698925,12.9145161290323,13.0218279569892,13.4402150537634,12.930752688172,13.2358064516129
"9","Sep",9.57944444444444,9.50366666666667,9.43266666666667,9.37411111111111,9.532,9.60733333333333,9.39366666666667,9.51477777777778,9.18533333333333,9.91644444444444,9.394
"10","Oct",5.72827956989247,5.41150537634409,5.38451612903226,5.11408602150538,5.35677419354839,5.86451612903226,5.1710752688172,4.94924731182796,5.45956989247312,5.38268817204301,5.56903225806452
"11","Nov",1.82188888888889,1.51488888888889,1.53511111111111,1.40411111111111,1.56833333333333,0.889,1.73055555555556,2.50377777777778,1.56466666666667,1.62977777777778,1.38955555555556
"12","Dec",-0.85,-1.70903225806452,-1.12365591397849,-1.10430107526882,-1.48430107526882,-0.695161290322581,-0.750752688172043,-1.27935483870968,-0.430752688172043,-1.04548387096774,-0.813118279569892
